#{"t_start": 1763362893.3222272, "env_id": "None"}
r,l,t
-2.02,1,8.385223
-5.0,1,8.393953
-5.0,1,8.39937
-5.0,1,8.404244
-5.0,1,8.414085
-5.0,1,8.420172
-5.0,4,8.449879
-5.0,1,8.456254
-5.0,1,8.461241
-5.0,1,8.46709
-5.0,1,8.474057
-5.0,1,8.480029
-5.0,1,8.486996
-5.0,2,8.501109
-5.0,1,8.508894
-5.0,2,8.520045
-5.0,1,8.527651
-5.0,1,8.534778
-5.0,2,8.549851
-5.0,1,8.554699
-5.0,3,8.571573
-5.0,1,8.580232
-5.0,1,8.585629
-7.02,1,8.591527
-5.0,1,8.598396
-5.0,1,8.604911
-7.02,1,8.612934
-5.0,1,8.618265
-5.0,3,8.637138
-5.0,2,8.651726
-5.0,1,8.65615
-5.0,1,8.665037
-5.0,1,8.672622
-5.0,1,8.676529
-5.0,1,8.683917
-5.0,1,8.68886
-5.0,1,8.695377
-5.0,2,8.704795
-5.0,1,8.712064
-5.0,1,8.719357
-5.0,1,8.724379
-5.0,2,8.737219
-5.0,1,8.743069
-5.0,1,8.74977
-5.0,1,8.754047
-5.0,1,8.76235
-5.0,1,8.768397
-5.0,1,8.777312
-5.0,3,8.793808
-5.0,1,8.798991
-5.0,1,8.806188
-5.0,1,8.811578
-5.0,1,8.819651
-7.02,1,8.824076
-5.0,1,8.831996
-5.0,1,8.835951
-5.0,1,8.842881
-5.0,1,8.850573
-5.0,1,8.857981
-5.0,1,8.863007
-5.0,1,8.870167
-5.0,1,8.876472
-5.0,2,8.886173
-5.0,1,8.896661
-5.0,1,8.903218
-5.0,2,8.913674
-5.0,2,8.925219
-7.02,2,8.938761
-5.0,1,8.943251
-5.0,2,8.957258
-5.0,1,8.961468
-5.0,1,8.968012
-5.0,1,8.973789
-5.0,1,8.98198
-5.0,1,8.987421
-5.0,1,8.991868
-5.0,1,8.999876
-5.0,1,9.005936
-5.0,2,9.018337
-5.0,1,9.024047
-5.0,1,9.030671
-5.0,1,9.036234
-5.0,1,9.041483
-5.0,1,9.047381
-5.0,1,9.054124
-5.0,1,9.063911
-5.0,1,9.069082
-5.0,1,9.076265
-5.0,1,9.0821
-5.0,1,9.08687
-5.0,1,9.094219
-5.0,1,9.099422
-5.0,1,9.105737
-5.0,1,9.112594
-5.0,1,9.119437
-5.0,2,9.133877
-5.0,1,9.140875
-5.0,2,9.152618
-5.0,1,9.158742
-5.0,2,9.172236
-5.0,1,9.177842
-5.0,1,9.184066
-5.0,2,9.196522
-5.0,1,9.200858
-5.0,1,9.20676
-5.0,1,9.215321
-5.0,1,9.219908
-5.0,1,9.226836
-5.0,3,9.244756
-5.0,1,9.255047
-5.0,1,9.259139
-5.0,2,9.272213
-5.0,1,9.27826
-5.0,1,9.28678
-5.0,1,9.292603
-5.0,1,9.298832
-5.0,1,9.304163
-5.0,1,9.310165
-5.0,1,9.315828
-5.0,1,9.32118
-5.0,1,9.327741
-5.0,1,9.331577
-5.0,1,9.338674
-5.0,1,9.343723
-5.0,1,9.348999
-5.0,1,9.355082
-5.0,1,9.362095
-5.0,1,9.367652
-5.0,1,9.3722
-5.0,1,9.378875
-5.0,1,9.38735
-5.0,1,9.392197
-5.0,1,9.399049
-5.0,1,9.403508
-5.0,1,9.40782
-5.0,1,9.416558
-5.0,1,9.423191
-5.0,1,9.429619
-5.0,1,9.435221
-5.0,2,9.447523
-5.0,1,9.452886
-5.0,1,9.460555
-5.0,1,9.465628
-5.0,1,9.472878
